"id","name","description","vibeTags","types","latitude","longitude","activityHours"
"ChIJK3qPbb0rdTERuqIfQ0MtaRU","HanFood - Lẩu Nướng Hàn Quốc","Quán đồ nướng học sinh sinh vien ngay sau lưng THPT Nguyễn Hữu Cầu, Quận 12. Menu đồ nướng và lẩu khá cơ bản, đầy đủ, sốt ướp đậm đà, giá cả dễ tiếp cận. Quán có không gian ngoài trời, thoáng mát. Chỉ mở buổi tối","{Chill,Bustling,Outdoor,Minimalist,Aesthetic,""Family Friendly""}","{restaurant,food,point_of_interest,establishment,Restaurant}","10.8678044","106.6139188","[""Monday: 4:00 – 10:00 PM"",""Tuesday: 4:00 – 10:00 PM"",""Wednesday: 4:00 – 10:00 PM"",""Thursday: 4:00 – 10:00 PM"",""Friday: 4:00 – 10:00 PM"",""Saturday: 4:00 – 10:00 PM"",""Sunday: 4:00 – 10:00 PM""]"
"63a27a0b-ca82-4815-83ab-6a7181fbade5","M Village Living 59 Thảo Điền","Là serviced apartment mang phong cách tối giản – hiện đại, nổi bật với thiết kế có điểm nhấn màu đỏ khá “artsy” giữa khu Thảo Điền yên tĩnh. Không gian phòng gọn gàng, đầy đủ tiện nghi như bếp chung, khu giặt và workspace, phù hợp ở ngắn hạn lẫn dài ngày hoặc làm việc remote. Giá ở mức tầm trung, được đánh giá cao về độ sạch sẽ, tiện nghi và vị trí khá thuận tiện di chuyển vào trung tâm. Nơi này hợp với người thích vibe “ở có gu, sống chậm”, thường được chọn bởi expat và freelancer; điểm nổi bật là không gian yên tĩnh, nhiều ánh sáng tự nhiên nhưng trải nghiệm sẽ thiên về sống hơn là nghỉ dưỡng kiểu khách sạn.","{Cozy,Romantic,Chill,Aesthetic,Vintage,Outdoor,Modern,""Family Friendly""}","{Lounge}","10.80881","106.73109","Open 24/7"
"ChIJQ_AEI9YvdTERhEqq0pB7nfs","Ngõ Thái - Quận 10","Quán ăn món Thái phù hợp ăn trưa và ăn tối ở quận 10. Không gian thoải mái, có chỗ ngồi trong nhà và ngoài trời, phục vụ nhanh, có cả món tráng miệng. Phù hợp đi nhóm hoặc ăn một mình, giờ cao điểm có thể đông.","{Loud,Chill,Outdoor,""Family Friendly"",""Pet Friendly""}","{bistro,restaurant,food,point_of_interest,establishment,Restaurant,""Fast Food"",""Fine Dining""}","10.7760488","106.6650602","[""Monday: 4:00 – 10:00 PM"",""Tuesday: 4:00 – 10:00 PM"",""Wednesday: 4:00 – 10:00 PM"",""Thursday: 4:00 – 10:00 PM"",""Friday: 4:00 – 10:00 PM"",""Saturday: 4:00 – 10:00 PM"",""Sunday: 4:00 – 10:00 PM""]"
"056d492c-fa62-438c-9ef5-0c9ef21b7993","ThisThat Bakery Cafe ","Quán cafe siêu rộng với các góc chụp ảnh phong cách Hàn Quốc ở Thảo Điền. Giá tầm cao, không gian rộng rãi thoáng mát. Buổi trưa chiều khá đông","{Cozy,Romantic,Chill,Quiet,Aesthetic,Vintage,Outdoor,""Family Friendly""}","{Restaurant,Cafe,""Dessert Shop"",Bakery}","10.80835","106.73902","8:00 - 21:30"
"914a7ce9-41d3-498e-83b2-80e712332985","Chị Mơ","Chị Mơ là quán ăn Việt mang phong cách mộc mạc, gần gũi, tái hiện không gian bếp nhà truyền thống với tone gỗ ấm và nhiều chi tiết hoài niệm. Menu tập trung vào các món cơm nhà như cá kho tộ, thịt kho trứng, canh chua, rau luộc chấm kho quẹt… với hương vị đậm đà, dễ ăn; mức giá tầm trung. Quán thường đông vào giờ trưa và buổi tối, đặc biệt phù hợp cho gia đình hoặc những ai muốn tìm lại cảm giác bữa cơm nhà giữa lòng Thảo Điền. Điểm đặc biệt của Chị Mơ nằm ở không gian ấm cúng và thực đơn mang đậm nét truyền thống Việt Nam, tạo cảm giác thân thuộc và “chữa lành” cho thực khách. ","{Cozy,Chill,Vintage,Aesthetic,Outdoor,""Family Friendly""}","{Restaurant}","10.80542","106.73295","07:00  - 22:00"
"ChIJkzahXWetNTER2AZ6G3X0wcw","Nhà Hàng Phương Nam - Quán ăn miền tây ở Hà Nội","Tổ chức tiệc cho lớp tại đây và có trải nghiệm rất tốt. Đồ ăn ngon, phục vụ nhiệt tình, hỗ trợ các bạn nhỏ rất chu đáo và thân thiện. Không gian phù hợp cho các buổi liên hoan, sự kiện nhóm. Chắc chắn sẽ quay lại vào những dịp khác.","{Loud}","{restaurant,food,point_of_interest,establishment,Restaurant}","21.0074138","105.8081179","[""Monday: 10:00 AM – 2:00 PM, 5:30 – 9:00 PM"",""Tuesday: 10:00 AM – 2:00 PM, 5:30 – 9:00 PM"",""Wednesday: 10:00 AM – 2:00 PM, 5:30 – 9:00 PM"",""Thursday: 10:00 AM – 2:00 PM, 5:30 – 9:00 PM"",""Friday: 10:00 AM – 2:00 PM, 5:30 – 9:00 PM"",""Saturday: 10:00 AM – 2:00 PM, 5:30 – 9:00 PM"",""Sunday: 10:00 AM – 2:00 PM, 5:30 – 9:00 PM""]"
"9b7da5d3-0ea1-42b5-be70-83150c6ce483","Chị Mơ","Chị Mơ là quán ăn Việt mang phong cách mộc mạc, gần gũi, tái hiện không gian bếp nhà truyền thống với tone gỗ ấm và nhiều chi tiết hoài niệm. Menu tập trung vào các món cơm nhà như cá kho tộ, thịt kho trứng, canh chua, rau luộc chấm kho quẹt… với hương vị đậm đà, dễ ăn; mức giá tầm trung. Quán thường đông vào giờ trưa và buổi tối, đặc biệt phù hợp cho gia đình hoặc những ai muốn tìm lại cảm giác bữa cơm nhà giữa lòng Thảo Điền. Điểm đặc biệt của Chị Mơ nằm ở không gian ấm cúng và thực đơn mang đậm nét truyền thống Việt Nam, tạo cảm giác thân thuộc và “chữa lành” cho thực khách. ","{Cozy,Chill,Vintage,Aesthetic,Outdoor,""Family Friendly""}","{Restaurant}","10.80542","106.73295","07:00  - 22:00"
"ChIJMXJqntUvdTERiqWuzxRb_y0","BÒ TƠ QUÁN MỘC Số O1 Trường Sơn","Nhà hàng chuyên món bò tơ phù hợp tụ họp bạn bè và gia đình. Không gian ấm cúng, có phòng riêng, menu đa dạng kèm bia và tráng miệng. Nên đặt chỗ trước giờ cao điểm, có chỗ đậu xe miễn phí.","{""Family Friendly"",""Pet Friendly"",Outdoor,Loud}","{restaurant,food,point_of_interest,establishment,Restaurant,Bakery,""Fine Dining""}","10.781462","106.6627719","[""Monday: 10:00 AM – 10:00 PM"",""Tuesday: 10:00 AM – 10:00 PM"",""Wednesday: 10:00 AM – 10:00 PM"",""Thursday: 10:00 AM – 10:00 PM"",""Friday: 10:00 AM – 10:00 PM"",""Saturday: 10:00 AM – 10:00 PM"",""Sunday: 10:00 AM – 10:00 PM""]"
"ChIJZdEBCwArdTERposRnQJzON8","AKANG MUSICBOX TÔ KÝ","Một Musicbox vui hết cỡ nằm ngay trong tâm quận 12. AKANG MUSICBOX TÔ KÝ mới khai trương thời gian gần đây nhưng nhận được sự quan tâm lớn từ các bạn trẻ. Hát hò thả ga chỉ từ 29K, có nhiều phụ kiện như băng đô, kính, nón, đồ chơi,... để bạn bè tha hồ ""quậy"", check-in cùng nhau. Thiết bị karaoke hiện đại, list nhiều bài hot hit, nhiều phòng, có phòng 2-3 người hoặc phòng 4-6 người. ","{Chill,Loud,Bustling,""Live Music"",""Family Friendly"",Modern}","{store,point_of_interest,establishment,karaoke,musicbox}","10.8650825","106.6164203","[""Monday: 10:00 AM – 2:00 PM"",""Tuesday: 10:00 AM – 2:00 PM"",""Wednesday: 10:00 AM – 2:00 PM"",""Thursday: 10:00 AM – 2:00 PM"",""Friday: 10:00 AM – 3:00 PM"",""Saturday: 10:00 AM – 3:00 PM"",""Sunday: 10:00 AM – 3:00 PM""]"
"ChIJC-nWiTYvdTERGMJvRSoZ2f4","Pizza 4P's Hai Ba Trung","Quán cafe yên tĩnh phù hợp học tập và làm việc ở quận 3. Không gian 2 tầng rộng rãi, nhiều ổ điện, wifi ổn định, giá nước tầm trung. Buổi tối hơi đông.","{Chill,""Family Friendly"",Vintage,Quiet}","{pizza_restaurant,family_restaurant,fine_dining_restaurant,fusion_restaurant,meal_takeaway,japanese_restaurant,restaurant,food,point_of_interest,service,establishment,Restaurant}","10.7830429","106.6969727","Cả ngày (08:00 - 23:00)"
